ram_used,ram_ava,cpu,temp
305816,6015236,1.2,53.556
309032,5995584,30.6,54.53
310764,5992812,38.1,55.017
310172,5993336,31.3,55.017
309652,5993856,30.0,54.53
310260,5993248,27.8,54.53
310116,5993392,22.2,54.53
310156,5993352,25.0,54.53
310804,5992704,27.8,54.53
311812,5991696,20.0,54.53
311960,5991548,31.6,55.991
312696,5990812,18.7,54.53
313488,5990020,29.4,55.504
313452,5990056,23.5,54.53
313480,5990028,25.0,55.504
313616,5989892,23.5,54.53
313648,5989860,20.0,55.017
313780,5989728,23.5,55.504
313864,5989644,18.8,55.504
313696,5989812,29.4,54.53
313564,5989944,18.8,54.53
313936,5989572,25.0,55.991
314132,5989392,27.8,55.017
313904,5989620,20.0,55.504
313380,5990144,23.5,55.017
313580,5989944,33.3,55.017
313908,5989616,18.8,55.504
313752,5989740,20.0,55.504
313760,5989732,18.8,54.53
313728,5989764,29.4,55.504
313852,5989640,27.8,55.991
314128,5989364,23.5,55.017
313756,5989728,25.9,55.017
313376,5990104,25.0,55.017
313580,5989900,20.0,55.504
314120,5989360,27.8,55.991
313804,5989676,20.0,55.504
313532,5989948,23.5,55.991
314036,5989440,27.8,55.991
314004,5989472,20.0,55.017
313688,5989788,18.7,54.53
313860,5989616,29.4,55.504
313880,5989596,18.7,55.017
313608,5989868,29.4,55.017
313956,5989520,27.8,55.017
314232,5989244,25.0,55.017
313988,5989488,23.5,55.504
313524,5989952,23.5,55.017
313696,5989780,20.0,55.017
314132,5989344,13.3,55.017
314112,5989364,25.0,54.043
313544,5989932,18.8,55.504
313684,5989792,27.8,54.53
313708,5989768,20.0,55.017
314136,6001476,33.3,55.991
314348,6001360,18.8,55.991
315180,6000528,25.0,55.504
314412,6001296,27.8,55.504
314124,6001612,25.0,55.017
314092,6001644,23.5,55.504
314516,6001220,25.0,55.017
314268,6001468,23.5,55.991
313952,6001784,27.8,55.991
313680,6002056,29.4,55.504
314608,6001128,13.3,55.504
314384,6001352,25.0,55.991
314272,6001464,23.5,55.504
314104,6001632,25.0,55.991
313932,6001804,23.5,55.991
314164,6001572,23.5,55.991
314432,6001304,29.4,55.991
314116,6001620,23.5,55.504
314288,6001448,29.4,55.991
314312,6001400,13.3,55.504
314740,6000972,25.0,55.504
313704,6002008,18.8,55.017
313948,6001764,23.5,56.965
314888,6000824,25.0,56.478
314320,6001392,23.5,55.991
314540,6001172,29.4,55.017
314452,6001260,18.8,56.478
314728,6000984,27.8,55.504
314484,6001228,29.4,56.478
314684,6001028,23.5,56.478
314148,6001564,22.2,55.991
314648,6001064,25.0,56.965
314364,6001348,27.8,56.478
315248,6000484,25.0,57.452
315716,6000016,18.7,55.504
316952,5998780,29.4,55.991
317200,5998532,13.3,56.965
316928,5998804,20.0,55.991
317160,5998572,23.5,56.478
316888,5998844,25.0,55.504
317080,5998652,27.8,56.478
317356,5998376,20.0,55.504
316528,5999204,18.8,56.478
316888,5998836,29.4,55.504
316572,5999152,18.7,56.965
316300,5999424,25.0,56.478
316544,5999180,18.7,56.478
316524,5999200,29.4,55.504
316492,5999972,27.8,55.991
317156,5999308,29.4,55.504
316760,5999728,23.5,55.991
316740,5999748,23.5,55.991
316572,5999916,20.0,56.478
316772,5999716,31.6,55.991
317120,5999368,25.0,56.478
316848,5999640,18.7,55.991
316680,5999808,23.5,56.478
316892,5999596,25.0,57.452
316712,5999776,23.5,55.991
317652,5998836,25.0,56.965
316800,5999688,18.8,55.504
317172,5999316,27.8,55.504
316588,5999900,25.0,56.478
316776,5999712,18.8,56.965
317124,5999364,20.0,55.504
317296,5999192,23.5,56.965
316944,5999544,25.0,56.478
317132,5999388,31.6,57.452
316772,5999748,23.5,56.965
317048,5999472,25.0,56.478
316700,5999820,23.5,56.965
317240,5999280,20.0,56.965
316924,5999596,27.8,56.478
317188,5999332,20.0,55.991
317168,5999352,23.5,56.478
317148,5999372,23.5,56.478
316580,5999940,25.0,56.478
317076,5999444,27.8,56.478
317044,5999476,27.8,55.991
317176,5999344,25.0,56.478
316860,5999660,23.5,55.991
316840,5999680,25.0,57.452
316420,6000100,18.8,56.965
317452,5999068,25.0,55.991
316884,5999636,18.7,56.965
316868,5999652,23.5,56.965
316804,5999716,29.4,57.452
317236,5999284,23.5,55.991
317172,5999348,29.4,56.478
316744,5999776,13.3,55.991
317144,5999376,25.0,56.965
316636,5999884,23.5,57.939
316508,6000012,23.5,56.478
317084,5999436,25.0,56.478
316812,5999708,23.5,56.965
317128,5999392,25.0,56.478
316940,5999580,18.7,56.965
316948,5999572,29.4,55.991
317340,5999180,18.8,56.478
316912,5999608,23.5,56.478
316784,5999736,20.0,55.991
317120,5999400,23.5,56.478
316596,5999924,25.0,56.965
316960,5999560,23.5,56.965
316896,5999624,31.6,55.991
317164,5999356,25.0,57.452
316708,5999812,23.5,56.965
316872,5999648,25.0,55.991
317176,5999344,18.7,56.965
317112,5999408,23.5,56.965
316692,5999828,29.4,56.965
316564,5999956,13.3,55.991
317116,5999404,25.0,57.452
317380,5999140,18.8,56.478
316924,5999596,25.0,55.991
317084,5999432,27.8,56.478
316984,5999532,23.5,56.965
317320,5999196,25.0,56.478
316740,5999776,27.8,55.504
316864,5999652,18.8,56.965
316948,5999568,29.4,56.478
317076,5999440,23.5,57.452
316896,5999620,27.8,57.452
317356,5999160,25.0,55.504
317164,5999352,23.5,57.452
317228,5999288,29.4,56.478
317224,5999296,23.5,57.452
317096,5999424,27.8,56.965
316884,5999636,25.0,57.452
317104,5999416,23.5,57.452
316724,5999796,20.0,56.965
317312,5999208,31.6,56.478
317052,5999468,18.7,57.452
316896,5999624,25.0,56.965
316952,5999568,23.5,56.478
317008,5999512,27.8,57.452
316748,5999772,25.0,56.478
317024,5999496,27.8,56.965
316492,6000032,20.0,56.965
317128,5999392,27.8,56.478
316592,5999928,23.5,56.965
316648,5999872,25.0,56.965
317080,5999440,27.8,56.478
316400,6000120,23.5,57.939
316828,5999692,20.0,56.965
317008,5999512,23.5,56.965
317076,5999444,25.0,55.991
317492,5999028,23.5,57.452
316656,5999864,18.8,57.939
316768,5999752,29.4,56.478
317400,5999120,18.8,55.991
316832,5999688,23.5,57.452
316452,6000068,20.0,56.478
316696,5999824,23.5,57.452
316804,5999716,25.0,56.965
317076,5999444,23.5,56.965
316832,5999688,13.3,57.452
317396,5999124,25.0,58.426
317120,5999400,18.8,56.965
317232,5999288,29.4,56.965
317568,5998952,18.8,56.965
317000,5999520,25.0,56.965
316520,6000004,23.5,56.478
316740,5999780,23.5,56.478
316848,5999672,27.8,57.452
316980,5999540,25.0,57.939
317240,5999280,18.8,55.991
317552,5998968,25.0,56.965
317276,5999244,23.5,56.478
317388,5999132,23.5,57.939
317100,5999420,20.0,56.965
317084,5999436,27.8,57.452
317336,5999184,20.0,57.452
316692,5999828,23.5,56.965
317304,5999216,27.8,57.452
316764,5999756,25.0,57.452
316888,5999632,23.5,57.452
316972,5999548,25.0,56.965
317444,5999076,30.0,56.965
317484,5999036,25.0,57.452
317148,5999372,22.2,58.426
317032,5999488,26.3,57.939
317824,5998696,21.1,57.939
317616,5998904,30.0,57.452
317512,5999008,17.6,57.939
317780,5998744,22.2,56.478
317720,5998792,22.2,57.452
317736,5998776,21.1,57.939
317032,5999480,26.3,57.452
317520,5998992,17.6,56.965
317316,5999196,23.5,57.452
317068,5999444,17.6,57.452
316936,5999576,22.2,56.965
316780,5999732,22.2,56.965
317048,5999464,22.2,56.965
316972,5999540,26.3,56.965
316588,5999924,26.3,57.452
317840,5998672,25.0,56.965
317312,5999196,22.2,56.965
316588,5999920,17.6,56.965
317344,5999164,22.2,57.939
316620,5999888,22.2,57.452
317480,5999028,26.3,56.965
316840,5999668,22.2,57.939
317448,5999060,23.5,57.452
317300,5999208,23.5,57.939
316524,5999984,23.5,56.478
317240,5999268,23.5,57.939
