614344,6031524,90.6,82.776
ram_used,ram_ava,cpu,temp
614548,6031260,91.4,83.263
ram_used,ram_ava,cpu,temp
614840,6030968,92.0,82.289
ram_used,ram_ava,cpu,temp
615104,6031980,91.6,83.263
ram_used,ram_ava,cpu,temp
614336,6032736,90.7,82.289
ram_used,ram_ava,cpu,temp
614480,6032088,90.9,82.289
ram_used,ram_ava,cpu,temp
614480,6032088,91.6,83.263
ram_used,ram_ava,cpu,temp
614732,6031836,91.6,81.802
ram_used,ram_ava,cpu,temp
615096,6031984,91.8,83.263
ram_used,ram_ava,cpu,temp
614732,6032340,91.6,83.75
ram_used,ram_ava,cpu,temp
614732,6032340,90.2,83.263
ram_used,ram_ava,cpu,temp
614976,6031584,90.8,82.776
ram_used,ram_ava,cpu,temp
614980,6031584,91.0,83.75
ram_used,ram_ava,cpu,temp
614976,6031584,91.7,83.75
ram_used,ram_ava,cpu,temp
614964,6031336,91.2,83.263
ram_used,ram_ava,cpu,temp
614956,6030832,91.0,83.263
ram_used,ram_ava,cpu,temp
613948,6031320,90.9,82.776
ram_used,ram_ava,cpu,temp
614180,6031088,91.4,82.776
ram_used,ram_ava,cpu,temp
614044,6032248,91.5,83.263
ram_used,ram_ava,cpu,temp
614196,6032608,91.6,82.776
ram_used,ram_ava,cpu,temp
614196,6032608,91.4,81.802
ram_used,ram_ava,cpu,temp
614184,6032608,91.5,82.776
ram_used,ram_ava,cpu,temp
614176,6032104,91.9,83.263
ram_used,ram_ava,cpu,temp
613924,6032356,92.0,84.237
ram_used,ram_ava,cpu,temp
613924,6032356,91.3,83.75
ram_used,ram_ava,cpu,temp
614676,6031852,91.5,83.75
ram_used,ram_ava,cpu,temp
614428,6032104,92.2,82.289
ram_used,ram_ava,cpu,temp
614416,6031600,90.5,83.75
ram_used,ram_ava,cpu,temp
614764,6031244,91.0,83.263
ram_used,ram_ava,cpu,temp
614244,6031748,91.2,83.263
ram_used,ram_ava,cpu,temp
614236,6031244,91.3,82.289
ram_used,ram_ava,cpu,temp
613880,6031600,91.8,82.776
ram_used,ram_ava,cpu,temp
614148,6031348,91.8,83.263
ram_used,ram_ava,cpu,temp
614660,6031348,90.6,84.237
ram_used,ram_ava,cpu,temp
613644,6032356,91.3,83.75
ram_used,ram_ava,cpu,temp
614980,6031020,92.5,84.237
ram_used,ram_ava,cpu,temp
614896,6031616,91.6,83.75
ram_used,ram_ava,cpu,temp
614384,6031868,92.5,81.802
ram_used,ram_ava,cpu,temp
613620,6032120,91.7,82.776
ram_used,ram_ava,cpu,temp
613864,6031868,91.9,82.289
ram_used,ram_ava,cpu,temp
613968,6031764,91.8,82.289
ram_used,ram_ava,cpu,temp
614124,6032120,91.0,82.289
ram_used,ram_ava,cpu,temp
614124,6032120,90.6,84.237
ram_used,ram_ava,cpu,temp
614376,6031868,91.4,84.237
ram_used,ram_ava,cpu,temp
614368,6031364,91.5,83.75
ram_used,ram_ava,cpu,temp
614100,6030608,91.9,83.75
ram_used,ram_ava,cpu,temp
614596,6030104,91.0,84.237
ram_used,ram_ava,cpu,temp
615108,6030104,91.9,82.289
ram_used,ram_ava,cpu,temp
614372,6031600,91.9,83.263
ram_used,ram_ava,cpu,temp
614712,6031260,92.5,84.724
ram_used,ram_ava,cpu,temp
614096,6031364,90.5,82.289
ram_used,ram_ava,cpu,temp
614096,6031364,89.0,82.289
ram_used,ram_ava,cpu,temp
614088,6031364,91.3,83.75
ram_used,ram_ava,cpu,temp
614600,6031364,91.8,83.263
ram_used,ram_ava,cpu,temp
614704,6031260,92.1,82.289
ram_used,ram_ava,cpu,temp
614600,6031364,91.9,81.802
ram_used,ram_ava,cpu,temp
614340,6031112,92.3,81.802
ram_used,ram_ava,cpu,temp
614340,6031112,91.6,83.263
ram_used,ram_ava,cpu,temp
614224,6031228,91.7,83.263
ram_used,ram_ava,cpu,temp
614076,6031364,91.6,83.263
ram_used,ram_ava,cpu,temp
613808,6030860,91.6,82.289
ram_used,ram_ava,cpu,temp
613800,6030356,89.2,82.776
ram_used,ram_ava,cpu,temp
