ram_used,ram_ava,cpu,temp
482824,6010740,60.0,54.53
488212,5994120,35.2,53.556
489860,5990844,52.8,53.556
490928,5989332,47.7,54.043
491024,5988560,44.2,55.017
490732,5988324,45.5,54.53
490852,5988204,40.0,55.504
491000,5988056,41.9,55.017
490732,5988324,42.9,54.53
490868,5988188,40.5,54.53
491000,5988056,42.9,54.53
490984,5988072,44.2,55.017
490836,5988220,42.9,54.043
491104,5987952,41.9,55.017
491000,5988056,44.2,55.017
491236,5987820,41.5,54.043
491088,5987968,44.2,55.991
491232,5987820,43.2,55.017
490508,5994316,44.2,55.991
490792,5994168,42.9,55.504
490540,5994420,42.9,56.478
491044,5993916,44.2,55.991
490792,5994168,43.2,55.017
490792,5994168,42.9,54.53
490796,5993276,44.2,56.965
490880,5993056,44.2,55.991
490896,5993040,43.2,55.991
491044,5992892,44.2,55.991
492468,5992804,42.9,56.965
492484,5992788,41.9,55.504
492380,5992892,44.2,55.991
492364,5992908,44.2,55.504
492616,5992656,44.2,56.965
492364,5992908,41.5,55.991
492468,5992804,41.9,56.965
492356,5992908,42.9,56.965
492608,5992656,43.2,56.965
492288,5992972,47.7,55.991
492188,5993076,41.9,56.478
492944,5992320,41.5,55.991
492456,5992808,44.2,56.965
492188,5993076,43.2,56.478
492544,5992720,44.2,56.965
492188,5993076,41.5,56.965
492308,5992956,41.9,56.478
492304,5992956,41.5,56.965
493424,5992720,43.2,57.939
493208,5993076,42.9,55.504
493208,5993076,41.5,57.452
493224,5993060,43.2,56.965
493312,5992972,42.9,56.965
493076,5993208,42.9,57.452
493224,5993060,44.4,56.965
493208,5993076,41.5,55.991
493208,5993076,42.9,57.452
493460,5992824,41.9,56.478
493460,5992824,42.9,57.452
492568,5992824,44.2,57.452
492436,5992824,44.4,56.965
492184,5993076,41.5,56.478
492436,5992824,43.2,56.965
492184,5993076,42.9,56.965
492200,5993060,42.9,56.965
492188,5993076,43.2,56.965
492436,5992824,42.9,57.452
492440,5992824,41.5,57.452
492188,5993076,43.2,57.939
492308,5992956,42.9,57.939
492204,5993060,44.2,56.965
492308,5992956,43.2,58.426
492308,5992956,41.5,56.965
492688,5992572,41.9,57.939
492436,5992824,42.9,57.939
492688,5992572,42.9,56.965
492824,5992436,39.5,57.939
492824,5992436,42.9,57.939
492820,5992436,42.9,57.452
492824,5992436,43.2,57.939
492824,5992436,42.9,57.939
493076,5992184,44.4,58.913
492824,5992436,42.9,58.426
492944,5992316,40.5,58.426
493296,5991964,42.9,58.426
492720,5993428,41.9,57.452
492556,5993728,41.5,57.452
492824,5993460,44.2,57.939
492720,5993564,43.2,58.426
493060,5993224,41.5,58.426
492700,5993580,42.9,58.913
492948,5993328,41.9,58.913
491776,5993476,44.2,59.4
491544,5993712,44.2,58.426
491688,5993564,41.9,58.426
491676,5993580,41.5,58.426
491676,5993580,44.2,57.939
491780,5993476,43.2,58.913
491796,5993460,44.2,58.426
491692,5993564,43.2,58.913
491944,5993312,42.9,59.4
491928,5993328,41.5,58.426
491928,5993328,43.2,57.939
491444,5993816,44.2,58.426
491732,5993532,42.9,58.426
491768,5993500,41.5,58.426
491940,5993328,41.9,57.939
491832,5993444,44.2,58.426
492224,5993056,42.9,58.426
492056,5993224,43.2,57.939
492212,5993076,42.9,58.913
492108,5993192,40.5,57.939
492184,5993076,44.2,58.426
492820,5993328,44.2,59.4
493208,5993076,41.9,58.913
492956,5993328,42.9,58.913
493208,5993076,42.9,59.887
492956,5993328,43.2,58.913
493312,5992972,42.9,58.913
493076,5993208,42.9,58.426
492972,5993312,40.5,59.4
493212,5993076,45.5,58.913
492960,5993328,42.9,59.4
493228,5993060,44.4,59.887
493212,5993076,41.5,57.939
492188,5993076,42.9,58.913
491936,5993328,41.9,58.913
492188,5993076,44.2,58.913
492188,5993076,44.2,58.913
492440,5992824,44.2,59.4
492188,5993076,41.9,58.913
492328,5992940,41.5,59.887
492216,5993056,41.9,58.913
492452,5992824,42.9,58.426
492340,5992940,43.2,58.913
492332,5992952,44.2,59.4
492072,5993216,40.0,58.913
492360,5992932,43.2,58.426
492248,5993048,41.5,58.913
492440,5992824,41.9,59.4
492436,5992824,44.2,58.913
492536,5992720,44.2,58.913
492428,5992824,41.9,58.913
492428,5992824,41.5,59.4
492424,5992824,44.2,58.913
492420,5992824,44.2,58.913
492284,5992956,41.9,59.4
492176,5993060,42.9,59.887
492408,5992824,42.9,60.374
492192,5993076,41.9,59.4
492548,5992720,44.2,59.887
493084,5993208,41.5,59.887
493232,5993060,42.9,60.374
493216,5993076,41.9,59.887
493468,5992824,42.9,59.4
493216,5993076,41.5,60.374
493320,5992972,43.2,60.374
493084,5993208,42.9,60.861
492204,5993060,44.2,59.887
492188,5993076,45.5,60.374
492440,5992824,41.9,59.4
492440,5992824,42.9,59.887
492544,5992720,41.5,59.887
492308,5992956,43.2,58.913
492456,5992808,42.9,59.4
492440,5992824,42.9,59.887
492372,5992824,42.9,59.4
492376,5992824,43.2,59.887
492376,5992824,44.2,60.861
492392,5992808,42.9,59.887
492732,5992468,41.9,59.887
493384,5991816,42.9,59.887
493400,5991800,44.2,59.4
493252,5991948,41.9,60.374
493148,5992052,41.5,59.4
493400,5991800,42.9,60.374
493148,5992052,41.9,59.887
493400,5991800,42.9,60.374
493380,5991816,42.9,59.887
492644,5993580,41.5,61.348
492644,5993580,41.9,60.374
492644,5993580,42.9,59.887
492660,5993564,44.2,58.913
492896,5993328,43.2,59.887
492644,5993580,42.9,60.374
492892,5993328,44.2,59.887
492644,5993580,41.9,59.887
492892,5993328,45.5,59.887
492636,5993580,42.9,59.887
492884,5993328,40.5,60.861
492880,5993328,42.9,59.887
492996,5992320,42.9,61.348
492844,5992468,43.2,59.887
492856,5992452,42.9,60.374
492748,5992556,42.9,60.861
492980,5992320,44.2,59.887
492628,5992572,43.2,59.4
493128,5992068,41.5,60.861
492872,5992320,44.2,60.861
492872,5992320,44.2,60.374
493124,5992068,41.9,60.374
492872,5992320,44.2,60.861
493120,5992068,42.9,60.374
492872,5992320,41.9,59.4
493124,5992068,44.2,60.374
492872,5992320,42.9,59.4
493136,5992052,42.9,60.374
492296,5995848,42.9,60.374
492296,5995848,41.9,59.887
492044,5996100,42.9,60.374
492160,5995980,41.5,60.374
492060,5996084,43.2,59.887
492160,5995980,41.5,59.887
492296,5995848,44.2,60.861
492296,5995848,44.2,60.861
492296,5995848,40.5,60.374
493320,5995848,41.5,60.861
493320,5995848,44.2,60.374
493320,5995848,44.2,60.374
493320,5995848,41.9,60.861
493320,5995848,42.9,60.861
493188,5995980,44.2,59.887
493084,5996084,41.9,60.374
493188,5995980,42.9,60.861
492312,5995832,44.2,60.374
492548,5995596,40.5,60.861
492296,5995848,42.9,60.374
492548,5995596,42.9,60.374
492296,5995848,44.2,60.374
492560,5995580,39.0,61.348
492548,5995596,44.2,59.887
492548,5995596,43.2,60.374
492544,5995596,44.2,60.861
492548,5995596,41.5,61.348
492400,5995744,42.9,60.861
492416,5995728,43.2,60.374
492312,5995832,44.2,60.374
492564,5995580,42.9,59.887
492548,5995596,42.9,60.374
492548,5995596,43.2,60.374
492544,5995596,42.9,61.348
492548,5995596,42.9,60.374
492548,5995596,40.5,61.348
492292,5995848,42.9,60.861
493296,5995728,44.2,60.861
493528,5995640,42.9,61.348
493540,5995624,41.5,59.887
493432,5995728,43.2,61.835
493664,5995492,45.5,60.861
493408,5995744,44.2,61.348
493656,5995492,41.9,60.374
493320,5995848,42.9,60.374
493588,5995580,42.9,60.374
